File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location
2010-08682,11/6/2010 15:48,11/06/2010 09:30 - 12:00,Larceny from Person,202,MIT,"200 MAIN STREET, Cambridge, MA"
2010-08683,11/6/2010 16:07,11/6/2010 16:07,Warrant Arrest,302,Inman/Harrington,"1000 CAMBRIDGE STREET, Cambridge, MA"
2010-08684,11/6/2010 15:40,11/6/2010 15:40,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08685,11/6/2010 17:22,11/06/2010 11:00 - 11:15,Aggravated Assault,1009,West Cambridge,"300 CONCORD Avenue, Cambridge, MA"
2010-08686,11/6/2010 16:56,11/6/2010 16:56,Disorderly,1002,West Cambridge,"BRATTLE STREET & PALMER STREET, Cambridge, MA"
2010-08687,11/6/2010 15:45,11/06/2010 13:00 - 18:24,Threats,107,East Cambridge,"100 CAMBRIDGE STREET, Cambridge, MA"
2010-08688,11/6/2010 18:41,11/06/2010 18:15 - 18:40,Larceny from MV,804,Agassiz,"1800 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08689,11/6/2010 18:51,11/6/2010 18:50,Simple Assault,406,Area 4,"0 GARDNER ROAD , Cambridge, MA"
2010-08690,11/6/2010 18:50,11/02/2010 20:00 - 11/06/2010 19:27,Auto Theft,1106,North Cambridge,"0 HASKELL STREET, Cambridge, MA"
2010-08692,11/6/2010 23:57,11/06/2010 01:00 - 01:30,Larceny from Person,301,Inman/Harrington,"900 CAMBRIDGE STREET, Cambridge, MA"
2010-08695,11/7/2010 0:59,11/7/2010 0:59,OUI,1106,North Cambridge,"2300 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08696,11/7/2010 1:13,11/06/2010 22:20 - 11/07/2010 00:30,Larceny from Person,107,East Cambridge,"300 CAMBRIDGE STREET, Cambridge, MA"
2010-08698,11/7/2010 1:53,11/7/2010 1:53,Commercial Break,305,Inman/Harrington,"1100 CAMBRIDGE STREET, Cambridge, MA"
2010-08699,11/7/2010 4:08,11/7/2010 4:08,Domestic Dispute,405,Area 4,"100 COLUMBIA STREET, Cambridge, MA"
2010-08700,11/7/2010 9:42,11/05/2010 20:00 - 11/06/2010 10:00,Larceny of Bicycle,607,Mid-Cambridge,"0 TROWBRIDGE STREET, Cambridge, MA"
2010-08701,11/7/2010 10:40,11/7/2010 10:40,Forgery,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08702,11/7/2010 10:24,11/07/2010 10:00 - 10:30,Domestic Dispute,912,Peabody,"200 GARDEN STREET, Cambridge, MA"
2010-08703,11/7/2010 11:24,11/06/2010 18:00 - 11/07/2010 12:50,Auto Theft,1014,West Cambridge,"100 LARCH ROAD , Cambridge, MA"
2010-08704,11/7/2010 12:01,11/06/2010 02:00 - 12:00,Larceny from MV,912,Peabody,"FIELD STREET & CORPORAL BURNS ROAD , Cambridge, MA"
2010-08705,11/7/2010 11:54,11/07/2010 11:30 - 11:50,Aggravated Assault,305,Inman/Harrington," PROSPECT STREET, Cambridge, MA"
2010-08707,11/7/2010 14:11,11/07/2010 11:00 - 14:00,Larceny from Building,1002,West Cambridge,"100 CHURCH STREET, Cambridge, MA"
2010-08708,11/7/2010 13:59,11/7/2010 15:41,Aggravated Assault,1002,West Cambridge,"BRATTLE STREET & Harvard SQUARE, Cambridge, MA"
2010-08709,11/7/2010 14:54,11/07/2010 14:30 - 15:15,Missing Person,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08710,11/7/2010 14:54,11/7/2010 14:54,Domestic Dispute,202,MIT,"AMES STREET & AMHERST STREET, Cambridge, MA"
2010-08711,11/7/2010 16:05,11/07/2010 16:00 - 16:10,Mal. Dest. Property,903,Peabody,"0 AVON STREET, Cambridge, MA"
2010-08713,11/7/2010 18:04,11/7/2010 18:04,Shoplifting,1101,North Cambridge,"0 WHITE STREET, Cambridge, MA"
2010-08714,11/7/2010 20:01,11/07/2010 17:30 - 20:00,Larceny from MV,1106,North Cambridge,"0 NORRIS STREET, Cambridge, MA"
2010-08717,11/8/2010 1:14,11/8/2010 1:14,Simple Assault,1002,West Cambridge,"0 BENNETT STREET, Cambridge, MA"
2010-08719,11/8/2010 7:49,11/07/2010 23:00 - 11/08/2010 06:00,Auto Theft,506,Cambridgeport,"200 FRANKLIN STREET, Cambridge, MA"
2010-08721,11/8/2010 10:27,11/8/2010 10:27,Forgery,503,Cambridgeport,"600 PUTNAM Avenue, Cambridge, MA"
2010-08722,11/8/2010 10:29,11/8/2010 8:00,Larceny of Plate,105,East Cambridge,"GORE STREET & SIXTH STREET, Cambridge, MA"
2010-08723,11/8/2010 10:39,11/05/2010 09:00 - 17:00,Larceny from Building,606,Mid-Cambridge,"400 BROADWAY, Cambridge, MA"
2010-08725,11/8/2010 13:26,11/08/2010 14:11 - 14:12,Missing Person,105,East Cambridge,"200 THORNDIKE STREET, Cambridge, MA"
2010-08726,11/8/2010 13:44,11/07/2010 22:00 - 11/08/2010 12:00,Larceny from MV,804,Agassiz,"0 FROST STREET, Cambridge, MA"
2010-08730,11/8/2010 14:34,05/08/2010 12:00 - 11/08/2010 14:00,Embezzlement,1202,Highlands,"100 SMITH PLACE, Cambridge, MA"
2010-08731,11/8/2010 16:38,11/08/2010 16:38 - 17:00,Domestic Dispute,305,Inman/Harrington,"200 ELM STREET, Cambridge, MA"
2010-08732,11/8/2010 17:45,11/08/2010 07:20 - 17:15,Mal. Dest. Property,804,Agassiz,"1700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08733,11/8/2010 16:55,11/08/2010 16:23 - 18:23,Harassment,105,East Cambridge,"300 HURLEY STREET, Cambridge, MA"
2010-08735,11/8/2010 21:10,11/08/2010 19:00 - 20:55,Larceny from MV,702,Riverside,"700 GREEN STREET, Cambridge, MA"
2010-08736,11/8/2010 21:22,11/8/2010 21:22,Domestic Dispute,106,East Cambridge,"0 LAMBERT STREET, Cambridge, MA"
2010-08737,11/8/2010 21:14,11/08/2010 16:00 - 22:14,Larceny from Person,104,East Cambridge,"300 MONSIGNOR OBRIEN HIGHWAY, Cambridge, MA"
2010-08738,11/8/2010 21:54,08/13/2010 16:00 - 17:00,Larceny from Building,411,Area 4,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08739,11/8/2010 22:25,11/08/2010 07:30 - 08:00,Larceny from Residence,402,Area 4,"200 BROADWAY, Cambridge, MA"
2010-08740,11/8/2010 22:18,11/8/2010 22:18,Warrant Arrest,1009,West Cambridge,"CONCORD Avenue & WALDEN STREET, Cambridge, MA"
2010-08741,11/8/2010 23:21,11/8/2010 23:20,Larceny from MV,1107,North Cambridge,"100 FAIRFIELD STREET, Cambridge, MA"
2010-08742,11/9/2010 0:49,11/09/2010 00:49 - 00:51,Shoplifting,302,Inman/Harrington,"1000 CAMBRIDGE STREET, Cambridge, MA"
2010-08743,11/9/2010 2:33,11/9/2010 2:30,Street Robbery,1012,West Cambridge,"100 GROZIER ROAD , Cambridge, MA"
2010-08745,11/9/2010 6:59,11/9/2010 7:09,Larceny (Misc),1101,North Cambridge,"PUTNAM SQUARE & Putnam SQUARE, Cambridge, MA"
2010-08748,11/9/2010 9:26,11/9/2010 9:26,Warrant Arrest,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08749,11/9/2010 9:35,11/08/2010 22:00 - 11/09/2010 09:30,Mal. Dest. Property,508,Cambridgeport,"100 HAMILTON STREET, Cambridge, MA"
2010-08752,11/9/2010 10:29,11/5/2010 11:00,Flim Flam,706,Riverside,"Mount Auburn STREET & PUTNAM AVENUE, Cambridge, MA"
2010-08754,11/9/2010 12:52,11/09/2010 08:00 - 09:00,Violation of R.O.,706,Riverside,"100 PUTNAM Avenue, Cambridge, MA"
2010-08755,11/9/2010 12:15,11/08/2010 15:00 - 11/09/2010 09:00,Larceny of Bicycle,707,Riverside,"0 DEWOLFE STREET, Cambridge, MA"
2010-08756,11/9/2010 13:03,11/9/2010 13:03,Sex Offender Violation,108,East Cambridge,"100 SIXTH STREET, Cambridge, MA"
2010-08758,11/9/2010 13:20,11/09/2010 12:30 - 13:30,Larceny from MV,411,Area 4,"0 DOUGLASS STREET, Cambridge, MA"
2010-08761,11/9/2010 15:02,10/31/2010 14:00 - 17:00,Larceny from Residence,1015,West Cambridge,"0 COOLIDGE HILL ROAD , Cambridge, MA"
2010-08762,11/9/2010 15:42,11/9/2010 15:42,Harassment,409,Area 4,"100 ESSEX STREET, Cambridge, MA"
2010-08763,11/9/2010 16:49,10/27/2010 12:00 - 11/09/2010 16:49,Forgery,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08764,11/9/2010 17:39,11/09/2010 17:40 - 17:59,Harassment,607,Mid-Cambridge,"0 TROWBRIDGE STREET, Cambridge, MA"
2010-08765,11/9/2010 18:36,11/09/2010 17:13 - 18:40,Larceny of Services,1002,West Cambridge,"0 CHURCH STREET, Cambridge, MA"
2010-08766,11/9/2010 18:38,11/09/2010 07:30 - 18:00,Larceny from MV,602,Mid-Cambridge,"0 INMAN STREET, Cambridge, MA"
2010-08767,11/9/2010 19:54,11/08/2010 09:00 - 09:30,Harassment,1202,Highlands,"800 CONCORD Avenue, Cambridge, MA"
2010-08768,11/9/2010 22:17,11/09/2010 19:00 - 21:00,Phone Calls,506,Cambridgeport,"200 ERIE STREET, Cambridge, MA"
2010-08769,11/10/2010 0:27,11/09/2010 12:00 - 11/10/2010 01:05,Missing Person,910,Peabody,"0 WALDEN SQUAREUARE ROAD , Cambridge, MA"
2010-08770,11/10/2010 2:06,11/10/2010 2:06,Domestic Dispute,303,Inman/Harrington,"CARDINAL MEDEIROS Avenue & HAMPSHIRE STREET, Cambridge, MA"
2010-08771,11/10/2010 8:02,11/09/2010 18:00 - 11/10/2010 08:37,Larceny from MV,604,Mid-Cambridge,"100 FAYETTE STREET, Cambridge, MA"
2010-08773,11/10/2010 10:09,11/10/2010 09:40 - 10:45,Domestic Dispute,105,East Cambridge,"100 THORNDIKE STREET, Cambridge, MA"
2010-08774,11/10/2010 10:14,11/09/2010 09:30 - 16:00,Housebreak,1106,North Cambridge,"0 REED STREET, Cambridge, MA"
2010-08776,11/10/2010 11:32,11/10/2010 11:40,Warrant Arrest,1110,North Cambridge,"0 CAMBRIDGEPARK DRIVE, Cambridge, MA"
2010-08777,11/10/2010 11:53,11/10/2010 11:53,Domestic Dispute,506,Cambridgeport,"200 ERIE STREET, Cambridge, MA"
2010-08778,11/10/2010 12:09,11/09/2010 17:30 - 11/10/2010 08:00,Larceny from Residence,707,Riverside,"0 ATHENS STREET, Cambridge, MA"
2010-08779,11/10/2010 13:25,11/09/2010 07:20 - 15:30,Mal. Dest. Property,804,Agassiz,"1700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08780,11/10/2010 15:15,11/10/2010 14:00 - 14:01,Mal. Dest. Property,201,MIT,"0 CAMBRIDGE CENTER, Cambridge, MA"
2010-08781,11/10/2010 14:50,11/10/2010 08:00 - 14:00,Larceny from MV,1002,West Cambridge,"0 ELIOT STREET, Cambridge, MA"
2010-08783,11/10/2010 16:03,11/10/2010 11:49 - 16:00,Larceny from MV,1002,West Cambridge,"0 ELIOT STREET, Cambridge, MA"
2010-08784,11/10/2010 16:16,11/10/2010 15:30 - 15:35,Threats,501,Cambridgeport,"600 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08786,11/10/2010 16:37,11/10/2010 15:30 - 16:30,Larceny from MV,1005,West Cambridge,"BRATTLE STREET & BROWN STREET, Cambridge, MA"
2010-08787,11/10/2010 18:26,11/10/2010 18:20 - 18:40,Warrant Arrest,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08788,11/10/2010 18:19,11/10/2010 11:41 - 11:43,Violation of R.O.,507,Cambridgeport,"0 LAUREL STREET, Cambridge, MA"
2010-08790,11/10/2010 19:12,11/10/2010 19:12 - 19:15,Aggravated Assault,501,Cambridgeport,"0 CENTRAL SQUARE, Cambridge, MA"
2010-08791,11/10/2010 20:22,08/26/2009 15:00 - 16:00,Larceny from Building,708,Riverside,"0 JFK STREET, Cambridge, MA"
2010-08792,11/10/2010 21:11,11/10/2010 21:11,Domestic Dispute,510,Cambridgeport,"800 MEMORIAL DRIVE, Cambridge, MA"
2010-08793,11/10/2010 21:24,11/10/2010 18:30 - 21:24,Housebreak,405,Area 4,"100 PINE STREET, Cambridge, MA"
2010-08794,11/10/2010 20:34,11/09/2010 05:05 - 11/10/2010 22:06,Harassment,805,Agassiz,"100 SACRAMENTO STREET, Cambridge, MA"
2010-08795,11/10/2010 23:05,11/10/2010 18:00 - 23:30,Larceny from MV,708,Riverside,"BOW STREET & Mount Auburn STREET, Cambridge, MA"
2010-08797,11/11/2010 1:56,11/11/2010 1:56,OUI,702,Riverside,"1000 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08798,11/11/2010 2:24,11/11/2010 2:24,Shoplifting,1002,West Cambridge,"1400 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08799,11/11/2010 2:47,11/11/2010 02:00 - 02:14,Aggravated Assault,708,Riverside,"1300 Massachusetts Avenue, Cambridge, MA"
2010-08801,11/11/2010 10:05,11/10/2010 14:00 - 16:10,Flim Flam,1005,West Cambridge,"200 Mount Auburn STREET, Cambridge, MA"
2010-08804,11/11/2010 11:20,11/10/2010 18:00 - 20:00,Larceny from MV,803,Agassiz,"MASSACHUSETTS Avenue & WENDELL STREET, Cambridge, MA"
2010-08805,11/11/2010 11:03,11/08/2010 15:00 - 11/11/2010 11:00,Larceny from MV,404,Area 4,"200 COLUMBIA STREET, Cambridge, MA"
2010-08806,11/11/2010 11:24,11/11/2010 11:15 - 11:24,Housebreak,705,Riverside,"0 PLEASANT STREET, Cambridge, MA"
2010-08807,11/11/2010 12:13,11/11/2010 11:00 - 11:24,Housebreak,705,Riverside,"0 PLEASANT STREET, Cambridge, MA"
2010-08808,11/11/2010 12:45,11/11/2010 12:30,Hit and Run,1008,West Cambridge,"0 MAYNARD PLACE, Cambridge, MA"
2010-08809,11/11/2010 13:33,11/09/2010 12:00 - 11/11/2010 13:22,Auto Theft,804,Agassiz,"0 FOREST STREET, Cambridge, MA"
2010-08810,11/11/2010 13:47,11/11/2010 13:47,Shoplifting,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2010-08811,11/11/2010 14:22,11/11/2010 14:22,Harassment,804,Agassiz,"1700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08813,11/11/2010 15:36,11/10/2010 18:30 - 19:15,Larceny of Bicycle,708,Riverside,"1200 CAMBRIDGE STREET, Cambridge, MA"
2010-08814,11/11/2010 14:54,10/27/2010 00:00 - 11/03/2010 00:00,Larceny from MV,801,Agassiz,"HAMMOND STREET & OXFORD STREET, Cambridge, MA"
2010-08815,11/11/2010 16:43,11/11/2010 16:30 - 16:50,Larceny of Bicycle,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08816,11/11/2010 15:27,09/11/2010 08:00 - 11/03/2010 20:00,Flim Flam,506,Cambridgeport,"200 FRANKLIN STREET, Cambridge, MA"
2010-08818,11/11/2010 17:46,11/09/2010 18:38 - 11/11/2010 18:38,Housebreak,603,Mid-Cambridge,"300 HARVARD STREET, Cambridge, MA"
2010-08819,11/11/2010 18:49,11/10/2010 13:30 - 14:00,Forgery,202,MIT,"200 MAIN STREET, Cambridge, MA"
2010-08820,11/11/2010 20:52,11/11/2010 18:39,Mal. Dest. Property,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08821,11/11/2010 18:22,11/11/2010 17:00 - 19:13,Larceny from Person,1101,North Cambridge,"0 White STREET, Cambridge, MA"
2010-08822,11/11/2010 22:02,11/11/2010 07:50 - 08:10,Threats,1108,North Cambridge,"100 CLIFTON STREET, Cambridge, MA"
2010-08825,11/12/2010 1:50,11/12/2010 01:35 - 01:40,Street Robbery,1113,North Cambridge,"MASSACHUSETTS Avenue & Walden STREET, Cambridge, MA"
2010-08826,11/12/2010 3:35,11/12/2010 01:00 - 03:15,Larceny from MV,708,Riverside,"0 JFK STREET, Cambridge, MA"
2010-08827,11/12/2010 5:21,11/11/2010 20:00,Missing Person,305,Inman/Harrington,"0 CITIZENS PLACE, Cambridge, MA"
2010-08828,11/12/2010 6:27,11/11/2010 22:00 - 11/12/2010 06:00,Larceny from MV,707,Riverside,"100 PUTNAM Avenue, Cambridge, MA"
2010-08831,11/12/2010 9:03,11/10/2010 08:00 - 11/11/2010 13:00,Flim Flam,408,Area 4,"0 BISHOP ALLEN DRIVE, Cambridge, MA"
2010-08832,11/12/2010 9:27,11/11/2010 15:30 - 11/12/2010 09:00,Larceny of Plate,1302,Strawberry Hill,"0 PARK Avenue, Cambridge, MA"
2010-08833,11/12/2010 11:15,11/11/2010 20:00 - 11/12/2010 08:00,Larceny from MV,510,Cambridgeport,"100 FAIRMONT STREET, Cambridge, MA"
2010-08834,11/12/2010 10:49,11/12/2010 10:40 - 10:50,Hit and Run,804,Agassiz,"1900 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08835,11/11/2010 6:00,11/11/2010 3:40,Housebreak,106,East Cambridge,"0 LAMBERT STREET, Cambridge, MA"
2010-08837,11/12/2010 11:53,11/11/2010 18:30 - 11/12/2010 08:00,Mal. Dest. Property,1101,North Cambridge,"100 DAVENPORT STREET, Cambridge, MA"
2010-08838,11/12/2010 14:05,09/28/2010 14:08 - 11/12/2010 14:08,Forgery,1201,Highlands,"100 SMITH PLACE, Cambridge, MA"
2010-08839,11/12/2010 11:47,11/12/2010 11:47,Warrant Arrest,108,East Cambridge,"100 Sixth STREET, Cambridge, MA"
2010-08842,11/12/2010 15:17,11/10/2010 20:00 - 11/11/2010 08:00,Larceny from MV,702,Riverside,"100 PUTNAM Avenue, Cambridge, MA"
2010-08843,11/12/2010 15:43,11/12/2010 15:35 - 15:40,Hit and Run,708,Riverside,"0 DUNSTER STREET, Cambridge, MA"
2010-08844,11/12/2010 15:00,11/12/2010 15:00,Threats,706,Riverside,"0 PUTNAM GDNS, Cambridge, MA"
2010-08847,11/12/2010 15:45,11/12/2010 15:35 - 16:00,Larceny of Bicycle,604,Mid-Cambridge,"0 ANTRIM STREET, Cambridge, MA"
2010-08849,11/12/2010 18:00,11/11/2010 08:00 - 11/12/2010 17:30,Larceny of Bicycle,103,East Cambridge,"200 FIRST STREET, Cambridge, MA"
2010-08850,11/12/2010 17:46,11/12/2010 15:00 - 16:00,Larceny from Person,411,Area 4,"700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08851,11/12/2010 18:16,11/12/2010 10:00 - 18:15,Larceny from MV,607,Mid-Cambridge,"0 ELLERY STREET, Cambridge, MA"
2010-08852,11/12/2010 18:00,11/11/2010 12:00 - 11/12/2010 18:00,Larceny of Bicycle,801,Agassiz,"100 OXFORD STREET, Cambridge, MA"
2010-08853,11/12/2010 18:59,11/12/2010 18:00 - 19:34,Threats,405,Area 4,"SCHOOL STREET & WINDSOR STREET, Cambridge, MA"
2010-08854,11/12/2010 19:10,11/07/2010 00:00 - 11/12/2010 00:00,Larceny from MV,702,Riverside,"0 SODEN STREET, Cambridge, MA"
2010-08855,11/12/2010 20:19,11/12/2010 18:00 - 20:20,Larceny from Person,501,Cambridgeport,"500 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08856,11/12/2010 21:16,11/12/2010 05:20 - 17:20,Hit and Run,704,Riverside,"PUTNAM Avenue & WESTERN AVENUE, Cambridge, MA"
2010-08857,11/12/2010 21:39,11/12/2010 17:00 - 17:30,Phone Calls,105,East Cambridge,"600 CAMBRIDGE STREET, Cambridge, MA"
2010-08858,11/12/2010 23:23,11/12/2010 23:10 - 23:30,Domestic Dispute,805,Agassiz,"100 OXFORD STREET, Cambridge, MA"
2010-08859,11/12/2010 23:36,11/12/2010 23:30 - 23:36,Domestic Dispute,302,Inman/Harrington,"1200 CAMBRIDGE STREET, Cambridge, MA"
2010-08860,11/13/2010 1:48,11/11/2010 02:00 - 11/13/2010 01:56,Missing Person,704,Riverside,"200 PUTNAM Avenue, Cambridge, MA"
2010-08861,11/13/2010 1:14,11/13/2010 00:40 - 00:50,Street Robbery,504,Cambridgeport,"Green STREET & Pearl STREET, Cambridge, MA"
2010-08862,11/13/2010 1:53,11/13/2010 01:51 - 01:57,Street Robbery,1002,West Cambridge,"0 BRATTLE STREET, Cambridge, MA"
2010-08863,11/13/2010 2:54,11/13/2010 2:54,Hit and Run,701,Riverside,"800 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08864,11/13/2010 2:53,11/13/2010 02:50 - 02:53,Mal. Dest. Property,708,Riverside,"0 BOW STREET, Cambridge, MA"
2010-08867,11/13/2010 7:46,11/13/2010 07:35 - 07:45,OUI,302,Inman/Harrington,"CAMBRIDGE STREET & PROSPECT STREET, Cambridge, MA"
2010-08868,11/13/2010 8:24,11/11/2010 00:01 - 11/12/2010 10:50,Mal. Dest. Property,1302,Strawberry Hill,"0 HOLMES STREET, Cambridge, MA"
2010-08869,11/13/2010 10:20,11/13/2010 10:20 - 10:40,Simple Assault,305,Inman/Harrington,"CAMBRIDGE STREET & NORFOLK STREET, Cambridge, MA"
2010-08871,11/13/2010 11:47,11/13/2010 10:30 - 12:00,Larceny from MV,509,Cambridgeport,"700 MEMORIAL DRIVE, Cambridge, MA"
2010-08872,11/13/2010 12:36,11/12/2010 16:30 - 11/13/2010 12:30,Mal. Dest. Property,908,Peabody,"CONCORD Avenue & DONNELL STREET, Cambridge, MA"
2010-08874,11/13/2010 13:21,11/13/2010 13:21,Hit and Run,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2010-08875,11/13/2010 15:09,11/11/2010 00:00 - 01:00,Larceny from Person,708,Riverside,"1200 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08876,11/13/2010 15:34,11/13/2010 15:20 - 15:30,Larceny from MV,510,Cambridgeport,"300 RIVER STREET, Cambridge, MA"
2010-08877,11/13/2010 16:17,11/13/2010 15:45 - 16:10,Larceny from MV,707,Riverside,"100 DUNSTER STREET, Cambridge, MA"
2010-08878,11/13/2010 16:37,11/12/2010 21:15 - 21:45,Mal. Dest. Property,1108,North Cambridge,"0 JACKSON STREET, Cambridge, MA"
2010-08879,11/13/2010 16:16,11/13/2010 14:00 - 16:00,Larceny from MV,1002,West Cambridge,"ELIOT STREET & JFK STREET, Cambridge, MA"
2010-08880,11/13/2010 17:34,11/13/2010 16:37 - 17:34,Phone Calls,301,Inman/Harrington,"0 HUNTING STREET, Cambridge, MA"
2010-08881,11/13/2010 17:36,11/13/2010 17:36,Domestic Dispute,502,Cambridgeport,"100 Auburn Park, Cambridge, MA"
2010-08882,11/13/2010 18:09,11/13/2010 16:00 - 18:00,Larceny from MV,501,Cambridgeport,"300 GREEN STREET, Cambridge, MA"
