File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location
2010-08640,11/5/2010 10:35,11/04/2010 19:00 - 11/05/2010 11:33,Auto Theft,301,Inman/Harrington,"100 WILLOW STREET, Cambridge, MA"
2010-08641,11/5/2010 11:03,11/05/2010 10:50 - 11:00,Street Robbery,105,East Cambridge,"SIXTH STREET & SPRING STREET, Cambridge, MA"
2010-08643,11/5/2010 10:57,09/20/2010 00:00 - 09/25/2010 00:00,Domestic Dispute,403,Area 4,"0 NEWTOWNE COURT, Cambridge, MA"
2010-08644,11/5/2010 12:50,11/05/2010 12:45 - 12:49,Hit and Run,1201,Highlands,"200 Alewife Brook Pky, Cambridge, MA"
2010-08645,11/5/2010 14:40,11/03/2010 16:00 - 11/05/2010 14:40,Missing Person,506,Cambridgeport,"0 MAGAZINE STREET, Cambridge, MA"
2010-08646,11/5/2010 15:53,11/05/2010 15:30 - 15:35,Larceny from Person,102,East Cambridge,"100 CAMBRIDGESIDE PLACE, Cambridge, MA"
2010-08648,11/5/2010 14:49,11/5/2010 12:30,Simple Assault,106,East Cambridge,"0 LAMBERT STREET, Cambridge, MA"
2010-08649,11/5/2010 15:48,11/5/2010 15:48,Threats,304,Inman/Harrington,"100 BERKSHIRE STREET, Cambridge, MA"
2010-08651,11/5/2010 18:03,11/05/2010 18:00 - 18:03,Hit and Run,104,East Cambridge,"100 GORE STREET, Cambridge, MA"
2010-08652,11/5/2010 18:22,11/05/2010 07:00 - 19:12,Hit and Run,605,Mid-Cambridge,"100 KIRKLAND STREET, Cambridge, MA"
2010-08653,11/5/2010 18:41,11/5/2010 16:50,Hit and Run,1002,West Cambridge,"0 JFK STREET, Cambridge, MA"
2010-08654,11/5/2010 18:00,11/04/2010 17:15 - 17:20,Threats,1109,North Cambridge,"400 RINDGE Avenue, Cambridge, MA"
2010-08655,11/5/2010 19:06,11/05/2010 11:30 - 17:30,Mal. Dest. Property,611,Mid-Cambridge,"0 QUINCY STREET, Cambridge, MA"
2010-08656,11/4/2010 19:40,11/5/2010 19:40,Threats,103,East Cambridge,"500 KENDALL STREET, Cambridge, MA"
2010-08660,11/5/2010 20:52,11/05/2010 18:30 - 21:28,Larceny from MV,406,Area 4,"HAMPSHIRE STREET & TREMONT STREET, Cambridge, MA"
2010-08661,11/5/2010 22:14,11/5/2010 22:14,Missing Person,304,Inman/Harrington,"100 BERKSHIRE STREET, Cambridge, MA"
2010-08662,11/5/2010 22:25,11/05/2010 15:00 - 20:00,Harassment,107,East Cambridge,"100 SCIARAPPA STREET, Cambridge, MA"
2010-08664,11/6/2010 0:45,11/5/2010 23:45,Street Robbery,804,Agassiz,"Massachusetts Avenue & Sacramento STREET, Cambridge, MA"
2010-08665,11/6/2010 1:45,10/15/2010 02:15 - 11/06/2010 02:15,Harassment,202,MIT,"400 MAIN STREET, Cambridge, MA"
2010-08666,11/6/2010 2:15,11/6/2010 2:15,Warrant Arrest,708,Riverside,"WINTHROP STREET & JFK STREET, Cambridge, MA"
2010-08667,11/6/2010 3:07,11/05/2010 17:30 - 11/06/2010 02:30,Larceny from Building,804,Agassiz,"1700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08668,11/6/2010 3:20,11/05/2010 18:00 - 11/06/2010 03:00,Mal. Dest. Property,701,Riverside,"700 MASSACHUSETTS Avenue, Cambridge, MA"
2010-08669,11/6/2010 4:39,11/6/2010 3:30,Missing Person,105,East Cambridge,"100 SPRING STREET, Cambridge, MA"
2010-08670,11/6/2010 7:25,11/06/2010 07:00 - 07:45,Domestic Dispute,1109,North Cambridge,"0 Jefferson Park, Cambridge, MA"
2010-08671,11/6/2010 7:45,11/06/2010 07:00 - 07:50,Domestic Dispute,302,Inman/Harrington,"400 PROSPECT STREET, Cambridge, MA"
2010-08672,11/6/2010 10:15,11/6/2010 9:30,Larceny from Building,607,Mid-Cambridge,"400 HARVARD STREET, Cambridge, MA"
2010-08675,11/6/2010 12:19,11/06/2010 10:45 - 11:00,Violation of R.O.,804,Agassiz,"0 SACRAMENTO STREET, Cambridge, MA"
2010-08677,11/6/2010 12:23,11/05/2010 22:10 - 11/06/2010 12:00,Larceny from MV,604,Mid-Cambridge,"100 HIGHLAND Avenue, Cambridge, MA"
2010-08678,11/6/2010 13:12,11/06/2010 13:05 - 13:25,Larceny from MV,501,Cambridgeport,"0 CENTRAL SQUARE, Cambridge, MA"
2010-08679,11/6/2010 13:30,11/06/2010 13:30 - 14:00,Domestic Dispute,507,Cambridgeport,"0 MAGAZINE STREET, Cambridge, MA"
2010-08680,11/6/2010 14:08,09/01/2010 12:34 - 11/06/2010 12:34,Harassment,707,Riverside,"0 ARROW STREET, Cambridge, MA"
